energy_bin,agent_helping_rate,human_helping_rate
0-10,0.07526881720430108,0.05061777600637704
10-20,0.149898717083052,0.082687338501292
20-30,0.1678832116788321,0.04407951598962835
30-40,0.14519650655021835,0.07623318385650224
40-50,0.09897723523589574,0.04701890450799806
50-60,0.05555555555555555,0.06422478675363773
60-70,0.03598247809762203,0.06516587677725119
70-80,0.03333333333333333,0.0773109243697479
80-90,0.03540495365445981,0.09403889065986612
90-100,0.0366677388227726,0.13971539456662355
