energy_bin,agent_helping_rate,human_helping_rate
0-10,0.11155454199923984,0.06813304721030043
10-20,0.11538461538461539,0.09014084507042254
20-30,0.12402234636871508,0.049132947976878616
30-40,0.17216411906677392,0.08937960042060988
40-50,0.1198547215496368,0.055651176133103844
50-60,0.08952228020875151,0.07360552041403105
60-70,0.08106666666666666,0.06935687263556116
70-80,0.12983814215341308,0.07991156032849021
80-90,0.1370223978919631,0.09403889065986612
90-100,0.009264734870885078,0.13971539456662355
