turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.24539877300613497,0.06999442275515895
0,Yes,0.3131868131868132,0.46153846153846156
1,No,0.2664922987503633,0.04475443185120605
1,Yes,0.30275229357798167,0.5107033639143731
2,No,0.17344252705469435,0.061128985083357706
2,Yes,0.3209169054441261,0.5272206303724928
3,No,0.08105726872246696,0.08311306901615272
3,Yes,0.1652892561983471,0.27823691460055094
4,No,0.044045204288612,0.060851926977687626
4,Yes,0.03470031545741325,0.06309148264984227
5,No,0.12515451174289247,0.04743083003952569
5,Yes,0.09022556390977443,0.1270718232044199
6,No,0.14416058394160583,0.06674684305472038
6,Yes,0.044662309368191724,0.31343283582089554
7,No,0.05901015228426396,0.07188498402555911
7,Yes,0.022433132010353754,0.2647058823529412
8,No,0.048616305160807775,0.059301380991064176
8,Yes,0.010391686650679457,0.07291666666666667
9,No,0.028487947406866325,0.0374251497005988
9,Yes,0.0037641154328732747,0.05
