energy_bin,agent_helping_rate,human_helping_rate
0-10,0.12879581151832462,0.06813304721030043
10-20,0.10163339382940109,0.09014084507042254
20-30,0.11609498680738786,0.049132947976878616
30-40,0.1439342015078821,0.08937960042060988
40-50,0.13971830985915493,0.055651176133103844
50-60,0.10431503979891077,0.07360552041403105
60-70,0.07556401195977168,0.06935687263556116
70-80,0.13993961996093057,0.07991156032849021
80-90,0.12714776632302405,0.09403889065986612
90-100,0.007149950347567031,0.13971539456662355
