turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.2041271611823759,0.06999442275515895
0,Yes,0.3131868131868132,0.46153846153846156
1,No,0.23946527172333623,0.04475443185120605
1,Yes,0.2599388379204893,0.5107033639143731
2,No,0.1974261479964902,0.061128985083357706
2,Yes,0.3467048710601719,0.5272206303724928
3,No,0.07488986784140969,0.08311306901615272
3,Yes,0.26170798898071623,0.27823691460055094
4,No,0.05215879455230368,0.060851926977687626
4,Yes,0.167192429022082,0.06309148264984227
5,No,0.10285006195786865,0.04743083003952569
5,Yes,0.07222222222222222,0.1270718232044199
6,No,0.12276683463124141,0.06674684305472038
6,Yes,0.062023939064200215,0.31343283582089554
7,No,0.08199871877001921,0.07188498402555911
7,Yes,0.032034632034632034,0.2647058823529412
8,No,0.06651884700665188,0.059301380991064176
8,Yes,0.013212221304706853,0.07291666666666667
9,No,0.04295774647887324,0.0374251497005988
9,Yes,0.013717421124828532,0.05
