energy_bin,agent_helping_rate,human_helping_rate
0-10,0.0005849291727066961,0.06813304721030043
10-20,0.02633744855967078,0.09014084507042254
20-30,0.023383768913342505,0.049132947976878616
30-40,0.048859934853420196,0.08937960042060988
40-50,0.046669325887514955,0.055651176133103844
50-60,0.05588144489039827,0.07360552041403105
60-70,0.057708161582852434,0.06935687263556116
70-80,0.08514713564339195,0.07991156032849021
80-90,0.08052782947047876,0.09403889065986612
90-100,0.0765804351550454,0.13971539456662355
