turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.18460680423870607,0.06999442275515895
0,Yes,0.3516483516483517,0.46153846153846156
1,No,0.16448706771287416,0.04475443185120605
1,Yes,0.3180428134556575,0.5107033639143731
2,No,0.09037730330505996,0.061128985083357706
2,Yes,0.33810888252148996,0.5272206303724928
3,No,0.06696035242290749,0.08311306901615272
3,Yes,0.26721763085399447,0.27823691460055094
4,No,0.05186902347145755,0.060851926977687626
4,Yes,0.19558359621451105,0.06309148264984227
5,No,0.056938394523957686,0.04743083003952569
5,Yes,0.0570902394106814,0.1270718232044199
6,No,0.06074766355140187,0.06674684305472038
6,Yes,0.024364406779661018,0.31343283582089554
7,No,0.039046988749172735,0.07188498402555911
7,Yes,0.009683098591549295,0.2647058823529412
8,No,0.024175824175824177,0.059301380991064176
8,Yes,0.0009090909090909091,0.07291666666666667
9,No,0.02854938271604938,0.0374251497005988
9,Yes,0.0,0.05
