energy_bin,agent_helping_rate,human_helping_rate
0-10,0.09545049063336307,0.06813304721030043
10-20,0.0959040959040959,0.09014084507042254
20-30,0.0755939524838013,0.049132947976878616
30-40,0.09722222222222222,0.08937960042060988
40-50,0.08012326656394453,0.055651176133103844
50-60,0.057777777777777775,0.07360552041403105
60-70,0.04066877541798464,0.06935687263556116
70-80,0.17971623751970572,0.07991156032849021
80-90,0.23738317757009345,0.09403889065986612
90-100,0.16272189349112426,0.13971539456662355
