turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.6327384272169548,0.06999442275515895
0,Yes,0.7417582417582418,0.46153846153846156
1,No,0.44115082824760243,0.04475443185120605
1,Yes,0.599388379204893,0.5107033639143731
2,No,0.11143609242468558,0.061128985083357706
2,Yes,0.332378223495702,0.5272206303724928
3,No,0.09192364170337738,0.08311306901615272
3,Yes,0.2809917355371901,0.27823691460055094
4,No,0.04607360185453492,0.060851926977687626
4,Yes,0.08517350157728706,0.06309148264984227
5,No,0.07718643012760659,0.04743083003952569
5,Yes,0.062157221206581355,0.1270718232044199
6,No,0.14983560356975106,0.06674684305472038
6,Yes,0.042708333333333334,0.31343283582089554
7,No,0.0756578947368421,0.07188498402555911
7,Yes,0.038112522686025406,0.2647058823529412
8,No,0.09689349112426035,0.059301380991064176
8,Yes,0.02237354085603113,0.07291666666666667
9,No,0.047192839707078924,0.0374251497005988
9,Yes,0.010670731707317074,0.05
