energy_bin,agent_helping_rate,human_helping_rate
0-10,0.011679079214624239,0.05061777600637704
10-20,0.026072786529060293,0.082687338501292
20-30,0.0450281425891182,0.04407951598962835
30-40,0.053758741258741256,0.07623318385650224
40-50,0.05001592863969417,0.04701890450799806
50-60,0.0473820426040215,0.06422478675363773
60-70,0.026284348864994027,0.06516587677725119
70-80,0.01878612716763006,0.0773109243697479
80-90,0.022697320251867038,0.09403889065986612
90-100,0.012580594433086963,0.13971539456662355
