energy_bin,agent_helping_rate,human_helping_rate
0-10,0.007612638411607484,0.06813304721030043
10-20,0.09212730318257957,0.09014084507042254
20-30,0.04239401496259352,0.049132947976878616
30-40,0.10533423362592843,0.08937960042060988
40-50,0.1588883062401678,0.055651176133103844
50-60,0.163589364844904,0.07360552041403105
60-70,0.06530825496342738,0.06935687263556116
70-80,0.14681540122346168,0.07991156032849021
80-90,0.1028950122078828,0.09403889065986612
90-100,0.04226961157654227,0.13971539456662355
