turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.21779141104294478,0.06999442275515895
0,Yes,0.06043956043956044,0.46153846153846156
1,No,0.22464399883754724,0.04475443185120605
1,Yes,0.28440366972477066,0.5107033639143731
2,No,0.195086282538754,0.061128985083357706
2,Yes,0.29512893982808025,0.5272206303724928
3,No,0.15770925110132158,0.08311306901615272
3,Yes,0.21763085399449036,0.27823691460055094
4,No,0.06867574616053318,0.060851926977687626
4,Yes,0.12302839116719243,0.06309148264984227
5,No,0.0773754255648406,0.04743083003952569
5,Yes,0.0521415270018622,0.1270718232044199
6,No,0.08999543170397442,0.06674684305472038
6,Yes,0.03598691384950927,0.31343283582089554
7,No,0.042334830019243104,0.07188498402555911
7,Yes,0.011284722222222222,0.2647058823529412
8,No,0.04078549848942598,0.059301380991064176
8,Yes,0.005654281098546042,0.07291666666666667
9,No,0.04460966542750929,0.0374251497005988
9,Yes,0.0024691358024691358,0.05
