energy_bin,agent_helping_rate,human_helping_rate
0-10,0.00022095008536707843,0.06813304721030043
10-20,0.014534883720930232,0.09014084507042254
20-30,0.01411764705882353,0.049132947976878616
30-40,0.04065040650406504,0.08937960042060988
40-50,0.029872673849167482,0.055651176133103844
50-60,0.04353741496598639,0.07360552041403105
60-70,0.04092315013085891,0.06935687263556116
70-80,0.03682819383259912,0.07991156032849021
80-90,0.03931451612903226,0.09403889065986612
90-100,0.01260950358375365,0.13971539456662355
