turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.0,0.06999442275515895
0,Yes,0.0,0.46153846153846156
1,No,0.0002906131938390003,0.04475443185120605
1,Yes,0.0,0.5107033639143731
2,No,0.02427610412401287,0.061128985083357706
2,Yes,0.03724928366762178,0.5272206303724928
3,No,0.05315712187958884,0.08311306901615272
3,Yes,0.1046831955922865,0.27823691460055094
4,No,0.06259055346276442,0.060851926977687626
4,Yes,0.12933753943217666,0.06309148264984227
5,No,0.07040942928039702,0.04743083003952569
5,Yes,0.029465930018416207,0.1270718232044199
6,No,0.036714089031665904,0.06674684305472038
6,Yes,0.013015184381778741,0.31343283582089554
7,No,0.0234375,0.07188498402555911
7,Yes,0.007894736842105263,0.2647058823529412
8,No,0.014492753623188406,0.059301380991064176
8,Yes,0.00594732370433305,0.07291666666666667
9,No,0.014264264264264264,0.0374251497005988
9,Yes,0.002635046113306983,0.05
