energy_bin,agent_helping_rate,human_helping_rate
0-10,0.06135081012197342,0.05061777600637704
10-20,0.05190102595051298,0.082687338501292
20-30,0.06751054852320675,0.04407951598962835
30-40,0.09330905780609923,0.07623318385650224
40-50,0.059163549812988776,0.04701890450799806
50-60,0.04170024174053183,0.06422478675363773
60-70,0.029900332225913623,0.06516587677725119
70-80,0.02058024867800486,0.0773109243697479
80-90,0.03088023088023088,0.09403889065986612
90-100,0.014918341708542714,0.13971539456662355
