energy_bin,agent_helping_rate,human_helping_rate
0-10,0.10557341907824223,0.06813304721030043
10-20,0.07672634271099744,0.09014084507042254
20-30,0.0733652312599681,0.049132947976878616
30-40,0.08428571428571428,0.08937960042060988
40-50,0.10015487867836861,0.055651176133103844
50-60,0.13515509601181683,0.07360552041403105
60-70,0.05976602238046796,0.06935687263556116
70-80,0.10711134639138874,0.07991156032849021
80-90,0.09629749918804807,0.09403889065986612
90-100,0.047921582864403706,0.13971539456662355
