turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.08310094813162298,0.06999442275515895
0,Yes,0.12087912087912088,0.46153846153846156
1,No,0.18482999128160418,0.04475443185120605
1,Yes,0.29357798165137616,0.5107033639143731
2,No,0.15443112021058789,0.061128985083357706
2,Yes,0.24641833810888253,0.5272206303724928
3,No,0.08604992657856093,0.08311306901615272
3,Yes,0.18732782369146006,0.27823691460055094
4,No,0.060851926977687626,0.060851926977687626
4,Yes,0.08201892744479496,0.06309148264984227
5,No,0.09034653465346534,0.04743083003952569
5,Yes,0.052336448598130844,0.1270718232044199
6,No,0.09954337899543379,0.06674684305472038
6,Yes,0.037037037037037035,0.31343283582089554
7,No,0.05060858424087124,0.07188498402555911
7,Yes,0.023356401384083045,0.2647058823529412
8,No,0.07033639143730887,0.059301380991064176
8,Yes,0.0137429264349232,0.07291666666666667
9,No,0.05534495830174375,0.0374251497005988
9,Yes,0.011968085106382979,0.05
