turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.0,0.06999442275515895
0,Yes,0.0,0.46153846153846156
1,No,0.025864574251671026,0.04475443185120605
1,Yes,0.11926605504587157,0.5107033639143731
2,No,0.055864287803451304,0.061128985083357706
2,Yes,0.2808022922636103,0.5272206303724928
3,No,0.059030837004405284,0.08311306901615272
3,Yes,0.26170798898071623,0.27823691460055094
4,No,0.04259634888438134,0.060851926977687626
4,Yes,0.13249211356466878,0.06309148264984227
5,No,0.04113826167646149,0.04743083003952569
5,Yes,0.03364485981308411,0.1270718232044199
6,No,0.08452655889145497,0.06674684305472038
6,Yes,0.02875399361022364,0.31343283582089554
7,No,0.051712992889463474,0.07188498402555911
7,Yes,0.01296456352636128,0.2647058823529412
8,No,0.03574144486692015,0.059301380991064176
8,Yes,0.007444168734491315,0.07291666666666667
9,No,0.03182827535159141,0.0374251497005988
9,Yes,0.005121638924455826,0.05
