energy_bin,agent_helping_rate,human_helping_rate
0-10,0.07569169960474308,0.06813304721030043
10-20,0.0805168986083499,0.09014084507042254
20-30,0.08441558441558442,0.049132947976878616
30-40,0.09772883688919477,0.08937960042060988
40-50,0.13291139240506328,0.055651176133103844
50-60,0.13391442155309033,0.07360552041403105
60-70,0.10073068893528184,0.06935687263556116
70-80,0.13778818443804033,0.07991156032849021
80-90,0.14028023836366565,0.09403889065986612
90-100,0.048426150121065374,0.13971539456662355
