energy_bin,agent_helping_rate,human_helping_rate
0-10,0.004454584963059539,0.05061777600637704
10-20,0.0086996336996337,0.082687338501292
20-30,0.011723838471558836,0.04407951598962835
30-40,0.020398912058023574,0.07623318385650224
40-50,0.013091641490433032,0.04701890450799806
50-60,0.01594294105307321,0.06422478675363773
60-70,0.010847351045433109,0.06516587677725119
70-80,0.02221141374837873,0.0773109243697479
80-90,0.039500683994528045,0.09403889065986612
90-100,0.034522220102994466,0.13971539456662355
