energy_bin,agent_helping_rate,human_helping_rate
0-10,0.0014678615574783684,0.06813304721030043
10-20,0.016713091922005572,0.09014084507042254
20-30,0.009693053311793215,0.049132947976878616
30-40,0.030501089324618737,0.08937960042060988
40-50,0.04384574749075541,0.055651176133103844
50-60,0.04005296259516716,0.07360552041403105
60-70,0.02447850148999574,0.06935687263556116
70-80,0.023444826508283837,0.07991156032849021
80-90,0.01543035107587769,0.09403889065986612
90-100,0.021678040947410677,0.13971539456662355
