turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.0,0.06999442275515895
0,Yes,0.0,0.46153846153846156
1,No,0.015693112467306015,0.04475443185120605
1,Yes,0.0,0.5107033639143731
2,No,0.02778590231061714,0.061128985083357706
2,Yes,0.04297994269340974,0.5272206303724928
3,No,0.03641703377386197,0.08311306901615272
3,Yes,0.08264462809917356,0.27823691460055094
4,No,0.04288611996522747,0.060851926977687626
4,Yes,0.0914826498422713,0.06309148264984227
5,No,0.026584234930448224,0.04743083003952569
5,Yes,0.0300187617260788,0.1270718232044199
6,No,0.030289123451124368,0.06674684305472038
6,Yes,0.006507592190889371,0.31343283582089554
7,No,0.02097902097902098,0.07188498402555911
7,Yes,0.0017761989342806395,0.2647058823529412
8,No,0.0258751902587519,0.059301380991064176
8,Yes,0.003372681281618887,0.07291666666666667
9,No,0.027632561613144136,0.0374251497005988
9,Yes,0.007712082262210797,0.05
