turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.0,0.06999442275515895
0,Yes,0.0,0.46153846153846156
1,No,0.0,0.04475443185120605
1,Yes,0.0,0.5107033639143731
2,No,0.0,0.061128985083357706
2,Yes,0.0,0.5272206303724928
3,No,0.0,0.08311306901615272
3,Yes,0.0027548209366391185,0.27823691460055094
4,No,0.006374963778614894,0.060851926977687626
4,Yes,0.0031545741324921135,0.06309148264984227
5,No,0.01143740340030912,0.04743083003952569
5,Yes,0.00375234521575985,0.1270718232044199
6,No,0.004107713372889092,0.06674684305472038
6,Yes,0.00544069640914037,0.31343283582089554
7,No,0.0031847133757961785,0.07188498402555911
7,Yes,0.00432152117545376,0.2647058823529412
8,No,0.0007518796992481203,0.059301380991064176
8,Yes,0.0032,0.07291666666666667
9,No,0.01608187134502924,0.0374251497005988
9,Yes,0.0012547051442910915,0.05
