energy_bin,agent_helping_rate,human_helping_rate
0-10,0.000622225909486871,0.06813304721030043
10-20,0.0136986301369863,0.09014084507042254
20-30,0.014136904761904762,0.049132947976878616
30-40,0.024121295658166782,0.08937960042060988
40-50,0.013937282229965157,0.055651176133103844
50-60,0.012616566099835436,0.07360552041403105
60-70,0.006375772066148635,0.06935687263556116
70-80,0.010410192666252331,0.07991156032849021
80-90,0.012867132867132867,0.09403889065986612
90-100,0.009023354564755838,0.13971539456662355
