turn,partner_helped_last,Human,Selfish,Capacity,Proximity,Reciprocity,Cap+Prox
0,No,0.07,0.0,0.139,0.196,0.0,0.418
0,Yes,0.462,0.0,0.093,0.225,0.0,0.5
1,No,0.045,0.0,0.113,0.258,0.026,0.393
1,Yes,0.511,0.0,0.22,0.266,0.119,0.41
2,No,0.061,0.0,0.132,0.191,0.056,0.168
2,Yes,0.527,0.0,0.35,0.266,0.281,0.401
3,No,0.083,0.0,0.089,0.094,0.059,0.107
3,Yes,0.278,0.003,0.3,0.16,0.262,0.289
4,No,0.061,0.006,0.065,0.045,0.043,0.075
4,Yes,0.063,0.003,0.129,0.047,0.132,0.186
5,No,0.047,0.011,0.068,0.042,0.041,0.114
5,Yes,0.127,0.004,0.06,0.039,0.034,0.083
6,No,0.067,0.004,0.062,0.049,0.085,0.156
6,Yes,0.313,0.005,0.04,0.012,0.029,0.064
7,No,0.072,0.003,0.08,0.016,0.052,0.067
7,Yes,0.265,0.004,0.026,0.008,0.013,0.027
8,No,0.059,0.001,0.076,0.014,0.036,0.055
8,Yes,0.073,0.003,0.018,0.004,0.007,0.024
9,No,0.037,0.016,0.045,0.021,0.032,0.046
9,Yes,0.05,0.001,0.018,0.008,0.005,0.011
