energy_bin,agent_helping_rate,human_helping_rate
0-10,0.10525675346799708,0.06813304721030043
10-20,0.12477396021699819,0.09014084507042254
20-30,0.11561978877153975,0.049132947976878616
30-40,0.12199717381064532,0.08937960042060988
40-50,0.0891158858753082,0.055651176133103844
50-60,0.0634394341290893,0.07360552041403105
60-70,0.03777777777777778,0.06935687263556116
70-80,0.04483531643386791,0.07991156032849021
80-90,0.0414917662253794,0.09403889065986612
90-100,0.030751521131392862,0.13971539456662355
