turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.13496932515337423,0.09320695102685624
1,No,0.005970149253731343,0.04386484884410195
1,Yes,0.09175648121176813,0.46153846153846156
2,No,0.04649811101424005,0.047126436781609195
2,Yes,0.08256880733944955,0.49056603773584906
3,No,0.047752808988764044,0.042328042328042326
3,Yes,0.10169988276670575,0.5297619047619048
4,No,0.05206200643463001,0.064330844342332
4,Yes,0.07449856733524356,0.4810126582278481
5,No,0.06763285024154589,0.05780691299165673
5,Yes,0.05873583780560525,0.5654450261780105
6,No,0.1013215859030837,0.07942028985507246
6,Yes,0.08539944903581267,0.3563218390804598
7,No,0.03375796178343949,0.0869047619047619
7,Yes,0.12602365787079162,0.20634920634920634
8,No,0.06918032786885246,0.07678883071553229
8,Yes,0.07886435331230283,0.05555555555555555
9,No,0.07365892714171338,0.04503464203233257
9,Yes,0.05793450881612091,0.072992700729927
