energy_bin,agent_helping_rate,human_helping_rate
0-10,0.056837131739855475,0.06813304721030043
10-20,0.09057071960297766,0.09014084507042254
20-30,0.10163934426229508,0.049132947976878616
30-40,0.0860655737704918,0.08937960042060988
40-50,0.07806191117092867,0.055651176133103844
50-60,0.05344164172723386,0.07360552041403105
60-70,0.04192571337478081,0.06935687263556116
70-80,0.04506568897036358,0.07991156032849021
80-90,0.04490790074592784,0.09403889065986612
90-100,0.02988652708965958,0.13971539456662355
