turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.13915225878416063,0.09320695102685624
1,No,0.020895522388059702,0.04386484884410195
1,Yes,0.10836003495484998,0.46153846153846156
2,No,0.03894216797442604,0.047126436781609195
2,Yes,0.0581039755351682,0.49056603773584906
3,No,0.033707865168539325,0.042328042328042326
3,Yes,0.06213364595545135,0.5297619047619048
4,No,0.06054401871892366,0.064330844342332
4,Yes,0.166189111747851,0.4810126582278481
5,No,0.05314009661835749,0.05780691299165673
5,Yes,0.05426356589147287,0.5654450261780105
6,No,0.08604992657856093,0.07942028985507246
6,Yes,0.06611570247933884,0.3563218390804598
7,No,0.014012738853503185,0.0869047619047619
7,Yes,0.061419472247497726,0.20634920634920634
8,No,0.05377049180327869,0.07678883071553229
8,Yes,0.06309148264984227,0.05555555555555555
9,No,0.0208,0.04503464203233257
9,Yes,0.04659949622166247,0.072992700729927
