energy_bin,agent_helping_rate,human_helping_rate
0-10,0.04579404922248072,0.06813304721030043
10-20,0.07523148148148148,0.09014084507042254
20-30,0.09200209095661264,0.049132947976878616
30-40,0.13309024612579762,0.08937960042060988
40-50,0.07989258140315542,0.055651176133103844
50-60,0.04231433506044905,0.07360552041403105
60-70,0.08148027917545853,0.06935687263556116
70-80,0.06489431968295904,0.07991156032849021
80-90,0.07339449541284404,0.09403889065986612
90-100,0.027867268041237115,0.13971539456662355
