turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.09090909090909091,0.09320695102685624
1,No,0.0029850746268656717,0.04386484884410195
1,Yes,0.10894261578794058,0.46153846153846156
2,No,0.09241499564080209,0.047126436781609195
2,Yes,0.09480122324159021,0.49056603773584906
3,No,0.15168539325842698,0.042328042328042326
3,Yes,0.053341148886283704,0.5297619047619048
4,No,0.13044749926879204,0.064330844342332
4,Yes,0.05157593123209169,0.4810126582278481
5,No,0.10628019323671498,0.05780691299165673
5,Yes,0.08139534883720931,0.5654450261780105
6,No,0.10895741556534508,0.07942028985507246
6,Yes,0.07162534435261708,0.3563218390804598
7,No,0.06496815286624204,0.0869047619047619
7,Yes,0.04640582347588717,0.20634920634920634
8,No,0.08262295081967214,0.07678883071553229
8,Yes,0.025236593059936908,0.05555555555555555
9,No,0.0544,0.04503464203233257
9,Yes,0.010705289672544081,0.072992700729927
