energy_bin,agent_helping_rate,human_helping_rate
0-10,0.06985395425737118,0.06813304721030043
10-20,0.10174418604651163,0.09014084507042254
20-30,0.1261505143475907,0.049132947976878616
30-40,0.14822439526505404,0.08937960042060988
40-50,0.0924898261191269,0.055651176133103844
50-60,0.08661078873844831,0.07360552041403105
60-70,0.05056179775280899,0.06935687263556116
70-80,0.04728789986091794,0.07991156032849021
80-90,0.04184549356223176,0.09403889065986612
90-100,0.04059278350515464,0.13971539456662355
