energy_bin,agent_helping_rate,human_helping_rate
0-10,0.0022813688212927757,0.06813304721030043
10-20,0.0013704888076747374,0.09014084507042254
20-30,0.007017543859649123,0.049132947976878616
30-40,0.011515430677107323,0.08937960042060988
40-50,0.013157894736842105,0.055651176133103844
50-60,0.0287816489937243,0.07360552041403105
60-70,0.023317347445014056,0.06935687263556116
70-80,0.04147894982134535,0.07991156032849021
80-90,0.05512332395298791,0.09403889065986612
90-100,0.020103388856978748,0.13971539456662355
