turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.04712771890686001,0.09320695102685624
1,No,0.0955223880597015,0.04386484884410195
1,Yes,0.03903291581706962,0.46153846153846156
2,No,0.0011624527753560012,0.047126436781609195
2,Yes,0.0,0.49056603773584906
3,No,0.0,0.042328042328042326
3,Yes,0.006740914419695193,0.5297619047619048
4,No,0.0014624159110851126,0.064330844342332
4,Yes,0.0057306590257879654,0.4810126582278481
5,No,0.0024154589371980675,0.05780691299165673
5,Yes,0.02623732856290996,0.5654450261780105
6,No,0.001762114537444934,0.07942028985507246
6,Yes,0.0027548209366391185,0.3563218390804598
7,No,0.008280254777070064,0.0869047619047619
7,Yes,0.04049135577797998,0.20634920634920634
8,No,0.0029508196721311475,0.07678883071553229
8,Yes,0.006309148264984227,0.05555555555555555
9,No,0.0408,0.04503464203233257
9,Yes,0.01322418136020151,0.072992700729927
