turn,agent_helped,partner_helped_last,ownBPfill,ownEnergy,distance_to_partner_veg,partner_needs_help
0,1,0,0.0,1.0,1.3598212,1
1,0,0,25.0,0.7,4.9029036,1
2,1,1,0.0,0.46,10.038755,1
3,0,0,25.0,0.2,0.0,1
4,1,1,25.0,0.15,4.8076925,1
5,0,0,50.0,0.0,1.3598212,1
6,0,1,50.0,0.0,4.3001313,1
7,0,0,50.0,0.0,0.0,1
8,0,1,50.0,0.0,4.0794625,1
9,0,0,50.0,0.0,3.0406513,1
10,0,0,50.0,0.0,3.0406513,1
11,0,0,50.0,0.0,8.600263,1
12,0,1,50.0,0.0,3.8461545,1
13,0,0,50.0,0.0,9.071136,1
14,0,1,50.0,0.0,4.807692,1
15,0,0,50.0,0.0,9.899645,1
16,0,1,50.0,0.0,4.9029036,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,8.864946,1
3,0,0,0.0,0.85,10.62054,1
4,0,1,0.0,0.8,8.271467,1
5,0,0,0.0,0.75,10.750327,1
6,0,1,0.0,0.7,9.0711355,1
7,0,0,0.0,0.65,9.805807,1
8,0,1,0.0,0.6,9.615384,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,9.6633415,1
3,0,0,0.0,0.85,9.0711355,1
4,0,1,0.0,0.8,10.62054,1
5,0,0,0.0,0.75,9.615384,1
6,0,1,0.0,0.7,10.750327,1
7,0,0,0.0,0.65,14.677247,1
8,0,0,0.0,0.6,11.697621,1
9,0,0,0.0,0.55,9.805807,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,9.6633415,1
3,0,0,0.0,0.85,8.864946,1
4,0,1,0.0,0.8,10.62054,1
5,0,0,0.0,0.75,9.0711355,1
6,0,1,0.0,0.7,10.750327,1
7,0,1,0.0,0.65,9.615384,1
8,0,0,0.0,0.6,9.805807,1
0,1,0,0.0,1.0,10.576923,1
1,1,1,25.0,0.72,4.9029036,1
2,1,0,50.0,0.58,5.178044,1
3,1,1,75.0,0.46,4.079462,0
4,0,1,100.0,0.3,7.322859,0
5,0,0,100.0,0.25,5.6066847,0
6,0,1,100.0,0.2,4.3001304,0
7,0,1,100.0,0.15,6.4501963,0
8,0,0,100.0,0.1,3.8461537,0
9,0,0,100.0,0.05,3.8461537,0
10,0,0,100.0,0.0,5.1780434,0
11,0,0,100.0,0.0,4.0794625,0
12,0,0,100.0,0.0,6.081303,0
13,0,0,100.0,0.0,1.3598206,0
14,0,0,100.0,0.0,4.9029036,0
15,0,1,100.0,0.0,0.0,0
0,1,0,0.0,1.0,1.3598212,1
1,1,0,25.0,0.74,8.215389,1
2,1,1,50.0,0.72,11.737072,1
3,0,0,75.0,0.46,5.6066847,1
4,0,0,0.0,0.26,6.799104,1
5,0,1,0.0,0.21,10.038755,1
6,0,1,0.0,0.16,4.3001304,1
7,0,0,0.0,0.11,9.121955,1
8,0,0,0.0,0.06,3.0406513,1
9,0,1,0.0,0.01,1.9230769,1
10,0,0,0.0,0.0,1.9230769,1
11,0,0,0.0,0.0,3.8461537,1
12,0,0,0.0,0.0,3.8461537,1
13,0,0,0.0,0.0,4.9029036,1
14,0,1,0.0,0.0,7.7521706,1
15,0,0,0.0,0.0,8.707102,1
16,0,0,0.0,0.0,9.805807,1
17,0,1,0.0,0.0,8.864946,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,8.271467,1
3,0,0,0.0,0.85,10.750327,1
4,0,1,0.0,0.8,9.0711355,1
5,0,0,0.0,0.75,9.805807,1
6,0,1,0.0,0.7,9.615384,1
7,0,0,0.0,0.65,10.221294,1
8,0,0,0.0,0.6,8.864946,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,9.6633415,1
3,0,0,0.0,0.85,8.864946,1
4,0,1,0.0,0.8,10.750327,1
5,0,0,0.0,0.75,9.615384,1
6,0,1,0.0,0.7,9.805807,1
7,0,0,0.0,0.65,9.0711355,1
8,0,1,0.0,0.6,10.221294,1
0,1,0,0.0,1.0,1.3598212,1
1,1,0,25.0,0.84,5.4392834,1
2,1,1,50.0,0.66,4.9029036,1
3,0,1,75.0,0.38,4.9029036,1
4,0,1,0.0,0.06,7.7521706,1
5,0,1,0.0,0.01,8.707102,1
6,0,0,0.0,0.0,6.799104,1
7,0,1,0.0,0.0,9.805807,1
8,0,0,0.0,0.0,8.864946,1
9,0,0,0.0,0.0,1.9230769,1
10,0,0,0.0,0.0,1.9230769,1
11,0,0,0.0,0.0,8.864946,1
12,0,0,0.0,0.0,8.158924,1
13,0,0,0.0,0.0,4.9029036,1
14,0,1,0.0,0.0,4.3001304,1
15,0,0,0.0,0.0,3.8461537,1
16,0,1,0.0,0.0,3.0406513,1
0,0,0,0.0,1.0,9.6633415,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,10.62054,1
3,0,0,0.0,0.85,9.0711355,1
4,0,1,0.0,0.8,10.750327,1
5,0,0,0.0,0.75,9.615384,1
6,0,1,0.0,0.7,9.805807,1
7,0,0,0.0,0.65,8.864946,1
0,0,0,0.0,1.0,9.6633415,1
1,0,1,0.0,0.95,9.805807,1
2,0,1,0.0,0.9,8.271467,1
3,0,0,0.0,0.85,10.62054,1
4,0,1,0.0,0.8,9.0711355,1
5,0,0,0.0,0.75,10.750327,1
6,0,1,0.0,0.7,9.615384,1
7,0,0,0.0,0.65,11.697621,1
0,0,0,0.0,1.0,8.271467,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,9.0711355,1
3,0,0,0.0,0.85,10.62054,1
4,0,1,0.0,0.8,9.615384,1
5,0,1,0.0,0.75,9.805807,1
6,0,1,0.0,0.7,8.864946,1
7,0,0,0.0,0.65,10.750327,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,9.6633415,1
3,0,0,0.0,0.85,9.615384,1
4,0,1,0.0,0.8,9.805807,1
5,0,0,0.0,0.75,9.0711355,1
6,0,1,0.0,0.7,10.750327,1
7,0,0,0.0,0.65,14.677247,1
8,0,0,0.0,0.6,10.62054,1
9,0,0,0.0,0.55,11.697621,1
10,0,0,0.0,0.55,10.62054,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,8.271467,1
3,0,0,0.0,0.85,9.805807,1
4,0,1,0.0,0.8,8.864946,1
5,0,0,0.0,0.75,10.62054,1
6,0,1,0.0,0.7,9.615384,1
7,0,1,0.0,0.65,14.677247,1
8,0,0,0.0,0.6,9.0711355,1
9,0,0,0.0,0.55,10.750327,1
0,1,0,0.0,1.0,1.3598212,1
1,0,0,33.333336,0.74,3.9645247,1
2,1,1,0.0,0.46,8.864946,1
3,1,1,33.333336,0.22,0.0,1
4,0,1,66.66667,0.0,5.6066847,1
5,0,0,0.0,0.0,8.864946,1
6,0,1,0.0,0.0,6.799104,1
7,0,1,0.0,0.0,1.9230769,1
8,0,0,0.0,0.0,4.3001304,1
9,0,0,0.0,0.0,4.9029036,1
10,0,1,0.0,0.0,3.0406513,1
11,0,1,0.0,0.0,3.8461537,1
12,0,0,0.0,0.0,1.9230769,1
13,0,0,0.0,0.0,8.707102,1
14,0,0,0.0,0.0,7.9290485,1
15,0,0,0.0,0.0,1.9230769,1
16,0,0,0.0,0.0,7.7521706,1
17,0,0,0.0,0.0,9.121955,1
0,1,0,0.0,1.0,7.000106,1
1,1,1,33.333336,0.7,3.8461537,1
2,1,1,66.66667,0.54,4.8076925,0
3,0,0,100.0,0.28,0.0,0
4,0,1,100.0,0.23,3.9645247,0
5,0,1,100.0,0.18,0.96153766,0
6,0,0,100.0,0.13,4.807692,0
7,0,0,100.0,0.08,7.7521706,0
8,0,0,100.0,0.03,8.215388,0
9,0,1,100.0,0.0,12.313702,0
10,0,0,100.0,0.0,7.7521706,0
11,0,0,100.0,0.0,12.936178,0
12,0,0,100.0,0.0,7.752171,0
13,0,0,100.0,0.0,11.578457,0
14,0,1,100.0,0.0,9.071136,0
15,0,1,100.0,0.0,7.7521706,0
16,0,0,100.0,0.0,9.899645,0
17,0,0,100.0,0.0,9.899645,0
0,0,0,0.0,1.0,9.6633415,1
1,0,1,0.0,0.95,8.271467,1
2,0,0,0.0,0.9,10.62054,1
3,0,1,0.0,0.85,9.0711355,1
